,symbol,shares,avg_price,industry,sector,price_pershare,avg_usd,total_value
0,FMTY14.MX,900.0,12.76,Banks—Regional,Financial Services,11.90999984741211,0.6669653140695078,600.27
1,DANHOS13.MX,150.0,24.08,REIT—Diversified,Real Estate,23.0,1.2880102787685517,193.2
2,AT1d.DE,54.0,2.120249807333334,Quote not found for ticker symbol: AT1D.DE,Quote not found for ticker symbol: AT1D.DE,,,
3,DLR,4.0,93.573678625,REIT—Specialty,Real Estate,91.5,91.5,366.0
4,O,6.0,62.37286195833333,REIT—Retail,Real Estate,60.369998931884766,60.369998931884766,362.22
5,SBRA,7.0,13.148136749999999,REIT—Healthcare Facilities,Real Estate,10.899999618530273,10.899999618530273,76.3
6,MCD,1.0,288.34885725,Restaurants,Consumer Cyclical,288.1499938964844,288.1499938964844,288.15
7,STAG,3.0,33.11495241666667,REIT—Industrial,Real Estate,34.400001525878906,34.400001525878906,103.2
8,FIBRAMQ12.MX,190.0,30.744912280701755,REIT—Industrial,Real Estate,29.40999984741211,1.6469731348716665,312.92
9,K,2.0,69.173228625,Packaged Foods,Consumer Defensive,68.30999755859375,68.30999755859375,136.62
10,SBUX,1.0,100.34835725,Restaurants,Consumer Cyclical,102.11499786376953,102.11499786376953,102.11
11,VZ,3.0,37.614852416666665,Telecom Services,Communication Services,35.939998626708984,35.939998626708984,107.82
12,PFE,1.0,51.34925725,Drug Manufacturers—General,Healthcare,38.54999923706055,38.54999923706055,38.55
13,GOOGL,1.0,106.34845725,Internet Content & Information,Communication Services,124.16000366210938,124.16000366210938,124.16
14,V,1.0,227.2001645,Credit Services,Financial Services,229.27000427246094,229.27000427246094,229.27
15,IBM,3.0,124.98250483333334,Information Technology Services,Technology,127.23999786376953,127.23999786376953,381.72
16,T,10.0,17.534025725,Telecom Services,Communication Services,16.260000228881836,16.260000228881836,162.6
17,F,10.0,11.862025725,Auto Manufacturers,Consumer Cyclical,11.529999732971191,11.529999732971191,115.3
18,KO,2.0,64.47412862499999,Beverages—Non-Alcoholic,Consumer Defensive,61.5099983215332,61.5099983215332,123.02
